Category,Month,Value,Year,Source
Colocação em família substituta,SET,0.0,2021,LEM_2021.xlsx
DESDOBRAMENTOS TÉCNICOS,SET,,2021,LEM_2021.xlsx
Desligamentos,SET,0.0,2021,LEM_2021.xlsx
Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),SET,3.0,2021,LEM_2021.xlsx
EDUCAÇÃO,SET,,2021,LEM_2021.xlsx
ENCAMINHADO para mercado de trabalho,SET,0.0,2021,LEM_2021.xlsx
ENCAMINHADOS para curso profissionalizante,SET,0.0,2021,LEM_2021.xlsx
Efetivos na casa,SET,16.0,2021,LEM_2021.xlsx
Ensino EJA,SET,,2021,LEM_2021.xlsx
Ensino infantil,SET,0.0,2021,LEM_2021.xlsx
Ensino regular,SET,,2021,LEM_2021.xlsx
Evasão,SET,4.0,2021,LEM_2021.xlsx
INSERIDO no mercado de trabalho,SET,0.0,2021,LEM_2021.xlsx
INSERIDOS em curso profissionalizante,SET,0.0,2021,LEM_2021.xlsx
Interface com educação,SET,27.0,2021,LEM_2021.xlsx
Interface com judiciário,SET,4.0,2021,LEM_2021.xlsx
Interface com rede socioassistencial,SET,20.0,2021,LEM_2021.xlsx
Interface com saúde,SET,26.0,2021,LEM_2021.xlsx
Internações,SET,1.0,2021,LEM_2021.xlsx
Novos ingressos,SET,1.0,2021,LEM_2021.xlsx
"Outros: Reforço escolar, psicopedagoga, trabalho educativo",SET,0.0,2021,LEM_2021.xlsx
PIAS / Relatórios,SET,10.0,2021,LEM_2021.xlsx
PROFISSIONALIZAÇÃO,SET,,2021,LEM_2021.xlsx
"Reunião de equipe (técnica, casa, coordenação, gerente)",SET,8.0,2021,LEM_2021.xlsx
SAÚDE,SET,,2021,LEM_2021.xlsx
SCFV,SET,,2021,LEM_2021.xlsx
Saude mental,SET,17.0,2021,LEM_2021.xlsx
Saúde Clínica,SET,10.0,2021,LEM_2021.xlsx
Transferências,SET,1.0,2021,LEM_2021.xlsx
Visitas Domiciliares,SET,3.0,2021,LEM_2021.xlsx
aguardando vaga,SET,0.0,2021,LEM_2021.xlsx
matriculados,SET,2.0,2021,LEM_2021.xlsx
,SET,,2021,LEM_2021.xlsx
Apadrinhamento afetivo,OUT,0.0,2021,LEM_2021.xlsx
Atedimento familiar,OUT,24.0,2021,LEM_2021.xlsx
Atendimentos indvidual,OUT,58.0,2021,LEM_2021.xlsx
Colocação em família substituta,OUT,0.0,2021,LEM_2021.xlsx
DESDOBRAMENTOS TÉCNICOS,OUT,,2021,LEM_2021.xlsx
Desligamentos,OUT,0.0,2021,LEM_2021.xlsx
Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),OUT,3.0,2021,LEM_2021.xlsx
EDUCAÇÃO,OUT,,2021,LEM_2021.xlsx
ENCAMINHADO para mercado de trabalho,OUT,0.0,2021,LEM_2021.xlsx
ENCAMINHADOS para curso profissionalizante,OUT,6.0,2021,LEM_2021.xlsx
Efetivos na casa,OUT,15.0,2021,LEM_2021.xlsx
Ensino EJA,OUT,,2021,LEM_2021.xlsx
Ensino infantil,OUT,,2021,LEM_2021.xlsx
Ensino regular,OUT,,2021,LEM_2021.xlsx
Evasão,OUT,3.0,2021,LEM_2021.xlsx
INSERIDO no mercado de trabalho,OUT,0.0,2021,LEM_2021.xlsx
INSERIDOS em curso profissionalizante,OUT,0.0,2021,LEM_2021.xlsx
Interface com educação,OUT,18.0,2021,LEM_2021.xlsx
Interface com judiciário,OUT,6.0,2021,LEM_2021.xlsx
Interface com rede socioassistencial,OUT,12.0,2021,LEM_2021.xlsx
Interface com saúde,OUT,10.0,2021,LEM_2021.xlsx
Internações,OUT,0.0,2021,LEM_2021.xlsx
Novos ingressos,OUT,1.0,2021,LEM_2021.xlsx
"Outros: Reforço escolar, psicopedagoga, trabalho educativo",OUT,0.0,2021,LEM_2021.xlsx
PIAS / Relatórios,OUT,13.0,2021,LEM_2021.xlsx
PROFISSIONALIZAÇÃO,OUT,,2021,LEM_2021.xlsx
"Reunião de equipe (técnica, casa, coordenação, gerente)",OUT,9.0,2021,LEM_2021.xlsx
SAÚDE,OUT,,2021,LEM_2021.xlsx
SCFV,OUT,,2021,LEM_2021.xlsx
Saude mental,OUT,25.0,2021,LEM_2021.xlsx
Saúde Clínica,OUT,12.0,2021,LEM_2021.xlsx
Transferências,OUT,0.0,2021,LEM_2021.xlsx
Visitas Domiciliares,OUT,0.0,2021,LEM_2021.xlsx
aguardando vaga,OUT,0.0,2021,LEM_2021.xlsx
matriculados,OUT,0.0,2021,LEM_2021.xlsx
,OUT,,2021,LEM_2021.xlsx
Apadrinhamento afetivo,NOV,0.0,2021,LEM_2021.xlsx
Atedimento familiar,NOV,24.0,2021,LEM_2021.xlsx
Atendimentos indvidual,NOV,58.0,2021,LEM_2021.xlsx
Colocação em família substituta,NOV,0.0,2021,LEM_2021.xlsx
DESDOBRAMENTOS TÉCNICOS,NOV,,2021,LEM_2021.xlsx
Desligamentos,NOV,1.0,2021,LEM_2021.xlsx
Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),NOV,0.0,2021,LEM_2021.xlsx
EDUCAÇÃO,NOV,,2021,LEM_2021.xlsx
ENCAMINHADO para mercado de trabalho,NOV,0.0,2021,LEM_2021.xlsx
